Vai vestir um vestido castanho para o jantar?	Vai vestir um vestido castanho para o jantar?	¿Va a llevar un vestido marrón / café para la cena?	<img src="_vestido_castanho.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Nós usamos cachecóis vermelhos para nos aquecer.	Nós usamos cachecóis vermelhos para nos aquecer.	Nosotros usamos bufandas rojas para calentarnos.	<img src="_cachecois_vermelhos.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Vocês calçam sandálias azuis para o passeio.	Vocês calçam sandálias azuis para o passeio.	Vosotras llevaís sandalias azules para el paseo.	<img src="_sandalias_azuis.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Eles usam gabardinas beges para se proteger da chuva.	Eles trazem gabardinas beges para se proteger da chuva.	Ellos traen gabardinas beiges para protegerse de la lluvia.	<img src="_gabardina_bege.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Ela veste uma minisaia cor de laranja para a festa.	Ela veste uma minisaia cor de laranja para a festa.	Ella lleva puesta una minifalda de color naranja para la fiesta.	<img src="_minisaia_cor_laranja.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
A rapariga calça ténis cor-de-rosa para a aula de educação física.	A rapariga calça ténis cor-de-rosa para a aula de educação física.	La chica se pone zapatillas (ténis) rosas para la clase de educación física.	<img src="_tenis_cor_de_rosa.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
O rapaz usa um biquíni lilás na piscina.	O rapaz usa um biquíni lilás na piscina.	El chico usa un bikini lila en la piscina.	<img src="_biquíni_lilás.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
A menina tem um boné preto para se proteger do sol.	A menina tem um boné preto para se proteger do sol.	La niña tiene una gorra negra para protegerse del sol.	<img src="_bone_preto.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
As crianças estão com roupas quentes para o passeio no campo.	As crianças vestem roupas quentes para o passeio no campo.	Los niños visten ropa abrigada para el paseo en el campo.	<img src="_roupas_quentes.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
As raparigas têm bolsos pretos nos seus casacos cinzentos.	As raparigas têm bolsos pretos nos seus casacos cinzentos.	Las chicas tienen bolsillos negros en sus abrigos grises.	<img src="_bolso_preto_casaco_cinzento.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Os rapazes têm peças de roupa roxas para a festa.	Os rapazes vestem peças de roupa roxas para a festa.	Los chicos visten prendas de color morado para la fiesta.	<img src="_pecas_roupa_roxas.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Os estudantes usam collants brancos durante as apresentações de dança.	Os estudantes usam collants brancos durante as apresentações de dança.	Los estudiantes usan mallas blancas durante las presentaciones de baile.	<img src="_collants_brancas.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
O cabelereiro veste uma camisa amarela hoje.	O cabelereiro veste uma camisa amarela hoje.	El peluquero lleva una camisa amarilla hoy.	<img src="_camisa_amarela.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
O funcionário calça sapatos vermelhos a condizer com a gravata.	O funcionário calça sapatos vermelhos a condizer com a gravata.	El empleado tiene zapatos rojos a juego con la corbata.	<img src="_gravata_vermelha.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
O namorado usa saltos de agulha vermelhos para o encontro.	O namorado usa saltos de agulha vermelhos ao encontro.	El novio lleva tacones de aguja rojos a la cita.	<img src="_saltos_agulha_vermelhos.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
A tua namorada tem um colete verde.	A tua namorada tem um colete verde.	Tu novia tiene un chaleco verde.	<img src="_colete_verde.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
As funcionárias vestem blusões azuis para o evento.	As funcionárias vestem blusões azuis para o evento.	Las empleadas tienen cazadoras azules para el evento.	<img src="_blusoes_azuis.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
Minha mulher tem uma saia comprida bege para a reunião de negócios.	Minha mulher tem uma saia comprida bege para a reunião de negócios.	Mi mujer tiene una falda larga beige para la reunión de negocios.	<img src="_saia_comprida_bege.JPG">	Português::Curso::A1 Português::Vocabulario::Descripções Português::Vocabulario::Frases Português::Vocabulario::Pessoas::Roupa
